wav_path sensevoice_label M3PDB_Label gt_label
/gemini/platform/public/aigc/gongcheng/zby/ceshi_yinpin/qingan/0003_000371_seed15_0.wav NEUTRAL HAPPY HAPPY
/gemini/platform/public/aigc/gongcheng/zby/ceshi_yinpin/qingan/0003_000379_seed38_0.wav NEUTRAL ANGRY ANGRY
/gemini/platform/public/aigc/gongcheng/zby/ceshi_yinpin/test/0003_reject_9/wav/0003_000371_seed100_0.wav ANGRY ANGRY ANGRY
/gemini/platform/public/aigc/gongcheng/zby/ceshi_yinpin/test/0003_reject_9/wav/0003_000371_seed23_0.wav HAPPY HAPPY NEUTRAL
/gemini/platform/public/aigc/gongcheng/zby/ceshi_yinpin/test/0012_reject_1/wav/0012_001072_seed2_0.wav SAD SAD SAD
/gemini/platform/public/aigc/gongcheng/zby/ceshi_yinpin/test/0019/0019_001079.wav SAD SAD SAD
/gemini/platform/public/aigc/gongcheng/zby/ceshi_yinpin/test/0019/0019_001071.wav NEUTRAL NEUTRAL SAD
/gemini/platform/public/aigc/gongcheng/zby/ceshi_yinpin/test/0019/0019_000400.wav NEUTRAL NEUTRAL NEUTRAL
/gemini/platform/public/aigc/gongcheng/zby/ceshi_yinpin/test/0019/0019_001072.wav SAD SAD SAD
/gemini/platform/public/aigc/gongcheng/zby/ceshi_yinpin/test/0019/0019_000399.wav HAPPY HAPPY NEUTRAL
